-2.720	0.080	0.001	0.01
-2.718	0.080	0.001	0.01
-2.716	0.080	0.001	0.01
-2.714	0.040	0.001	0.01
-2.712	0.040	0.001	0.01
-2.710	0.060	0.001	0.01
-2.708	0.060	0.001	0.01
-2.706	0.040	0.001	0.01
-2.704	0.040	0.001	0.01
-2.702	0.040	0.001	0.01
-2.700	0.040	0.001	0.01
-2.698	0.040	0.001	0.01
-2.696	0.040	0.001	0.01
-2.694	0.060	0.001	0.01
-2.692	0.060	0.001	0.01
-2.690	0.040	0.001	0.01
-2.688	0.040	0.001	0.01
-2.686	0.060	0.001	0.01
-2.684	0.060	0.001	0.01
-2.682	0.060	0.001	0.01
-2.680	0.060	0.001	0.01
-2.678	0.040	0.001	0.01
-2.676	0.040	0.001	0.01
-2.674	0.040	0.001	0.01
-2.672	0.040	0.001	0.01
-2.670	0.080	0.001	0.01
-2.668	0.080	0.001	0.01
-2.666	0.060	0.001	0.01
-2.664	0.060	0.001	0.01
-2.662	0.040	0.001	0.01
-2.660	0.040	0.001	0.01
-2.658	0.040	0.001	0.01
-2.656	0.040	0.001	0.01
-2.654	0.060	0.001	0.01
-2.652	0.060	0.001	0.01
-2.650	0.020	0.001	0.01
-2.648	0.020	0.001	0.01
-2.646	0.060	0.001	0.01
-2.644	0.060	0.001	0.01
-2.642	0.060	0.001	0.01
-2.640	0.060	0.001	0.01
-2.638	0.040	0.001	0.01
-2.636	0.040	0.001	0.01
-2.634	0.060	0.001	0.01
-2.632	0.060	0.001	0.01
-2.630	0.040	0.001	0.01
-2.628	0.040	0.001	0.01
-2.626	0.020	0.001	0.01
-2.624	0.020	0.001	0.01
-2.622	0.040	0.001	0.01
-2.620	0.040	0.001	0.01
-2.618	0.060	0.001	0.01
-2.616	0.060	0.001	0.01
-2.614	0.040	0.001	0.01
-2.612	0.040	0.001	0.01
-2.610	0.040	0.001	0.01
-2.608	0.040	0.001	0.01
-2.606	0.060	0.001	0.01
-2.604	0.060	0.001	0.01
-2.602	0.060	0.001	0.01
-2.600	0.060	0.001	0.01
-2.598	0.040	0.001	0.01
-2.596	0.040	0.001	0.01
-2.594	0.040	0.001	0.01
-2.592	0.040	0.001	0.01
-2.590	0.060	0.001	0.01
-2.588	0.060	0.001	0.01
-2.586	0.040	0.001	0.01
-2.584	0.040	0.001	0.01
-2.582	0.040	0.001	0.01
